学习时长,出勤率,家长参与度,资源获取,课外活动,睡眠时间,过往成绩,学习动机水平,网络接入,辅导课程,家庭收入,教师质量,学校类型,同伴影响,体育活动,学习障碍,家长教育水平,家庭距离,性别,考试成绩
15,74,高,中,是,8,79,中,是,0,高,中,公立,消极,3,否,大学,近,男,65
16,76,中,中,否,7,59,低,是,0,低,中,公立,中性,2,否,大学,近,女,62
27,61,中,中,是,9,70,中,是,0,中,中,公立,中性,2,否,高中,,男,64
29,93,中,中,是,7,84,中,是,0,高,中,公立,中性,3,否,大学,中等,男,72
19,74,中,低,是,5,65,高,否,1,低,高,公立,积极,3,否,高中,近,男,64
20,83,中,中,是,7,75,中,是,0,中,中,公立,中性,4,否,高中,近,女,67
15,63,高,高,是,9,63,低,否,4,高,高,私立,消极,3,否,大学,近,男,64
27,67,低,中,否,6,54,中,是,0,中,低,私立,消极,2,否,高中,远,男,61
24,96,中,高,是,5,69,中,是,1,低,中,公立,积极,4,否,高中,近,男,72
32,84,中,中,是,8,87,中,否,2,中,中,公立,积极,1,否,高中,远,男,70
15,98,中,高,否,8,61,中,是,4,低,中,公立,积极,2,否,高中,中等,女,70
18,100,中,中,否,6,88,中,是,2,中,中,公立,中性,2,否,大学,中等,男,71
21,75,高,高,否,7,83,低,是,1,中,中,公立,积极,2,否,大学,近,女,68
24,72,中,中,否,7,75,中,是,3,高,中,私立,中性,2,否,大学,近,女,68
19,94,高,高,否,7,99,中,是,0,低,中,公立,中性,1,是,高中,近,男,70
15,100,高,高,否,8,94,高,是,2,中,高,公立,消极,3,否,大学,近,男,73
25,85,高,中,否,6,78,低,是,2,中,高,公立,中性,1,否,高中,远,女,69
24,92,中,高,否,8,78,高,是,0,中,中,公立,中性,3,否,高中,近,男,71
15,91,低,中,否,6,64,低,是,1,低,高,公立,积极,3,是,高中,近,男,64
28,74,中,中,否,9,96,低,是,0,中,中,私立,中性,3,否,高中,近,女,68
27,83,中,中,否,10,95,中,是,0,高,低,私立,中性,4,否,高中,中等,女,69
21,93,高,低,否,6,87,中,是,1,低,高,公立,积极,2,否,高中,近,女,70
20,88,中,中,否,5,56,中,是,1,低,中,公立,中性,4,否,,近,女,67
23,61,中,高,是,8,85,中,是,1,中,高,私立,积极,0,否,高中,近,男,66
15,73,中,高,否,7,63,中,是,2,中,中,公立,中性,5,否,研究生,中等,男,65
20,66,中,高,是,8,59,低,是,4,中,中,公立,积极,3,否,大学,近,男,66
7,69,低,中,是,6,88,中,是,0,低,高,私立,消极,4,否,研究生,近,女,61
25,96,低,中,否,7,98,中,是,0,低,中,公立,积极,2,否,高中,近,女,71
11,61,高,低,是,6,55,中,是,5,高,低,公立,中性,3,否,高中,远,男,60
29,69,中,中,是,7,58,中,是,1,低,低,公立,积极,2,否,大学,近,男,66
18,72,低,低,是,5,61,低,是,1,中,中,私立,消极,4,否,大学,中等,男,61
19,85,中,中,是,7,98,高,是,2,中,中,公立,消极,3,是,高中,中等,女,68
16,81,中,高,是,5,85,高,否,2,低,中,公立,积极,3,否,大学,近,男,68
18,69,中,中,是,6,84,中,是,2,低,中,公立,积极,4,否,高中,近,男,65
29,67,高,低,否,7,75,中,否,3,低,中,公立,中性,1,否,高中,近,女,65
5,69,中,中,是,8,77,中,否,2,低,高,公立,消极,2,否,大学,近,女,60
28,80,低,中,否,8,65,低,是,2,低,中,私立,中性,2,否,大学,近,男,67
22,71,高,中,否,8,58,中,否,2,低,中,公立,消极,4,否,大学,近,女,65
13,98,高,中,是,5,89,高,是,1,高,中,公立,消极,3,否,高中,近,男,70
14,79,中,中,否,9,74,中,是,1,中,中,公立,中性,4,否,高中,近,男,64
30,62,中,高,是,6,63,中,是,2,低,高,公立,积极,4,否,高中,中等,男,68
14,89,高,中,否,6,82,高,是,2,中,中,公立,消极,4,否,大学,中等,女,69
13,73,中,高,是,7,60,高,是,0,高,高,公立,中性,3,否,大学,近,女,65
27,86,中,中,否,6,74,中,是,2,高,高,私立,中性,3,否,高中,近,男,71
22,71,中,中,是,8,60,低,是,1,中,高,公立,中性,4,否,高中,中等,女,65
14,83,中,高,是,8,88,低,是,0,高,中,公立,消极,2,是,高中,中等,男,65
21,91,中,中,是,6,66,高,是,0,中,中,公立,积极,2,是,大学,远,女,68
14,97,中,低,否,7,72,高,是,1,低,低,公立,中性,3,否,高中,近,女,66
27,70,低,低,是,7,88,中,否,1,高,中,公立,中性,3,否,高中,近,男,65
26,73,高,高,是,8,83,低,是,2,中,中,公立,积极,4,否,大学,近,男,71
23,79,低,中,是,6,70,中,是,3,中,高,公立,消极,4,否,研究生,中等,女,68
22,97,中,中,是,6,54,中,否,2,高,中,公立,中性,2,否,大学,近,男,70
31,96,中,低,否,5,96,低,是,3,低,高,私立,中性,2,否,大学,,女,74
20,64,高,低,是,6,50,高,是,0,低,中,私立,中性,2,否,高中,近,男,62
13,65,中,高,否,5,87,低,是,1,中,中,公立,积极,2,是,高中,中等,女,61
23,80,高,高,是,6,97,中,是,0,中,中,私立,中性,3,否,高中,近,男,70
33,64,低,中,是,9,65,中,是,0,中,,公立,消极,2,否,大学,中等,男,65
14,74,中,中,是,8,54,高,是,2,低,低,公立,中性,2,否,高中,中等,男,62
18,66,高,高,否,9,62,中,是,2,高,中,公立,中性,4,否,高中,中等,女,65
22,85,高,中,否,6,66,低,是,0,低,中,私立,积极,4,否,大学,近,男,68
20,98,中,高,是,4,73,中,是,2,中,低,私立,积极,1,否,高中,远,男,70
14,100,中,低,否,7,76,低,是,1,中,中,私立,中性,3,否,研究生,近,女,68
27,75,低,中,否,10,86,中,否,3,中,中,私立,积极,6,否,研究生,近,女,69
34,84,中,高,是,6,95,中,是,1,低,中,私立,中性,3,否,研究生,远,男,73
21,94,中,中,是,7,73,中,是,1,中,中,私立,积极,5,否,大学,近,女,71
15,65,低,高,是,5,87,中,是,0,低,高,私立,中性,4,否,高中,近,女,63
11,88,高,中,是,7,56,低,是,2,中,中,公立,中性,2,否,大学,近,男,66
22,76,高,低,是,7,66,低,是,1,低,高,私立,积极,4,否,研究生,近,男,67
27,68,低,高,否,4,56,中,是,0,低,高,公立,中性,1,否,,近,女,64
23,76,中,低,是,5,85,中,是,1,中,低,公立,中性,3,否,高中,近,女,66
20,63,高,高,是,5,95,中,是,2,高,高,公立,积极,3,否,大学,近,男,69
16,88,中,高,是,5,94,高,是,4,中,中,私立,积极,6,否,大学,中等,男,72
13,70,中,高,是,6,66,中,是,1,中,中,公立,消极,4,否,高中,近,男,63
25,72,中,高,是,8,62,中,是,2,低,中,公立,积极,2,否,高中,近,女,67
25,65,低,中,否,6,64,中,是,1,中,中,私立,消极,4,否,大学,近,男,64
11,95,中,中,是,9,64,高,是,4,低,中,公立,积极,4,否,高中,中等,男,68
30,80,高,高,否,6,54,高,是,1,高,中,公立,积极,3,否,高中,中等,女,71
23,83,中,低,是,7,57,中,否,2,中,高,公立,积极,4,否,高中,中等,女,67
28,83,中,低,否,8,61,中,是,1,低,中,私立,消极,5,是,研究生,近,男,67
12,76,中,中,是,9,50,中,是,2,中,高,公立,消极,3,否,大学,近,男,64
12,68,高,低,否,6,52,低,是,5,高,高,公立,中性,3,否,大学,近,男,63
19,90,高,高,否,8,85,中,是,2,中,中,公立,中性,4,否,大学,近,男,72
23,65,低,中,是,6,81,低,是,2,低,中,公立,中性,2,否,高中,近,女,63
31,64,高,中,否,10,97,低,是,2,中,中,私立,消极,4,否,高中,远,女,67
24,88,低,中,是,5,70,中,否,1,低,中,私立,积极,2,否,研究生,近,男,68
19,68,低,高,是,8,72,高,是,2,低,高,私立,中性,3,否,大学,远,男,64
14,72,中,高,否,9,53,中,是,4,中,中,公立,消极,3,否,研究生,近,男,65
27,79,中,低,是,5,58,高,是,2,中,中,私立,中性,1,否,研究生,远,女,68
14,78,中,高,是,8,85,中,是,2,低,中,私立,消极,4,否,高中,近,男,66
30,88,中,中,是,6,62,高,是,4,低,中,私立,积极,5,否,大学,远,女,73
18,85,低,中,是,10,89,中,是,1,高,中,私立,积极,3,否,高中,近,女,68
30,86,中,高,否,4,85,高,是,2,中,中,私立,中性,5,是,研究生,远,男,72
24,89,中,中,是,5,87,中,否,3,高,中,公立,中性,0,否,高中,近,女,70
19,72,中,中,是,5,85,高,是,1,低,中,私立,中性,4,否,大学,近,女,66
17,73,低,中,是,5,85,高,是,3,中,中,公立,积极,1,否,大学,近,女,66
18,78,低,低,是,8,77,中,是,2,中,高,私立,中性,4,否,大学,近,女,66
23,72,高,低,是,10,84,低,是,2,低,中,公立,消极,2,否,高中,中等,男,65
20,99,高,低,是,9,76,高,是,2,低,中,公立,中性,5,否,大学,远,男,71
16,93,低,中,是,7,60,中,是,1,中,中,公立,积极,1,否,高中,中等,女,66
19,67,中,低,否,7,61,高,是,1,中,,私立,中性,4,否,大学,中等,女,63
20,60,中,中,是,6,70,中,是,2,低,中,公立,中性,3,是,研究生,近,女,63
7,62,高,中,是,8,51,低,是,0,中,低,公立,积极,3,否,大学,中等,男,58
23,70,中,高,否,7,94,低,是,3,中,高,公立,中性,3,否,,近,女,68
14,65,高,中,否,7,63,中,是,2,低,中,公立,中性,3,否,高中,中等,男,61
13,81,中,高,否,6,53,低,是,2,低,中,公立,积极,4,否,高中,近,男,65
10,94,高,低,否,5,71,中,是,1,高,中,公立,积极,3,否,高中,中等,男,67
9,89,低,高,是,7,91,中,是,1,高,低,公立,中性,3,否,研究生,近,男,67
12,69,高,低,否,7,70,中,是,1,中,中,私立,积极,4,否,高中,近,男,62
16,76,中,高,是,6,63,高,是,0,低,中,公立,积极,1,否,高中,近,女,86
32,80,高,中,否,6,77,低,是,0,中,中,公立,中性,5,否,大学,近,男,71
17,92,中,中,是,8,79,中,是,1,低,中,公立,积极,3,否,研究生,近,男,70
21,94,中,中,否,8,88,中,是,1,中,中,公立,积极,3,否,大学,近,男,71
22,96,高,低,否,10,90,高,是,2,低,中,公立,中性,3,是,大学,中等,男,71
21,80,高,高,是,9,85,低,是,1,高,中,公立,消极,3,否,大学,近,女,70
20,88,中,高,是,5,50,中,否,2,低,中,公立,中性,5,否,高中,中等,男,67
13,64,中,低,是,7,50,高,是,0,中,低,公立,积极,4,否,高中,近,男,60
29,83,高,高,否,5,99,中,是,0,中,高,公立,中性,4,否,大学,近,女,73
31,70,高,低,是,4,63,高,是,1,中,中,公立,中性,2,是,高中,近,女,67
10,77,低,高,是,10,64,高,是,1,低,中,私立,消极,3,是,大学,近,女,62
14,85,中,高,否,9,87,高,是,0,中,中,公立,消极,3,否,大学,近,女,67
18,70,高,低,否,6,79,中,是,1,中,高,公立,积极,2,否,大学,近,女,65
14,62,中,中,否,9,73,中,是,1,低,中,公立,中性,6,否,高中,近,男,61
23,60,高,中,是,9,56,低,否,0,低,中,私立,消极,4,否,高中,中等,女,61
16,61,高,中,否,4,54,低,是,1,低,中,私立,中性,2,否,高中,近,女,60
33,60,高,高,否,8,85,低,是,4,低,低,公立,消极,3,否,高中,近,男,68
27,64,高,中,是,6,56,低,是,0,低,高,公立,中性,5,否,大学,中等,女,65
21,70,高,高,是,8,72,低,是,3,中,低,公立,中性,1,否,研究生,中等,女,67
26,69,高,低,否,10,87,低,是,2,中,低,公立,积极,2,否,研究生,近,男,67
27,99,高,中,否,9,96,低,是,0,高,中,私立,积极,2,否,大学,中等,男,74
17,72,低,中,否,7,94,低,是,4,中,中,公立,积极,2,否,高中,远,女,64
15,65,中,高,是,9,93,低,是,2,低,低,私立,中性,3,否,大学,近,男,64
20,82,中,低,是,4,68,中,是,2,低,高,公立,中性,3,否,高中,近,男,67
25,94,高,高,否,8,96,高,是,6,中,中,公立,消极,3,是,高中,远,女,74
21,87,中,中,是,8,84,高,是,1,低,低,私立,积极,2,否,大学,近,男,69
11,72,低,中,否,8,94,高,是,1,低,低,公立,积极,2,否,高中,近,男,62
15,82,中,中,是,6,54,中,是,1,中,中,公立,积极,2,否,大学,,女,66
20,89,高,高,是,8,52,低,是,2,中,中,公立,消极,3,否,大学,中等,女,69
20,89,高,中,是,8,71,中,是,1,中,中,公立,消极,1,否,研究生,远,男,68
32,87,高,中,是,4,91,中,是,2,高,中,公立,中性,2,否,高中,中等,女,74
12,95,中,中,否,7,70,中,是,4,中,高,公立,积极,3,否,高中,远,男,68
23,95,中,中,是,6,94,高,是,2,中,中,公立,中性,3,否,高中,近,男,73
29,83,中,低,否,8,62,低,是,4,高,中,公立,消极,5,否,大学,近,男,70
34,77,中,高,否,9,52,中,是,0,中,中,私立,中性,4,否,高中,中等,女,69
18,86,中,中,是,6,88,中,是,2,中,高,公立,中性,2,否,大学,远,男,68
23,93,中,高,否,5,81,高,是,2,低,中,私立,消极,1,否,大学,近,男,71
23,60,低,中,否,7,72,低,是,3,高,中,公立,中性,2,否,大学,近,女,64
21,100,中,中,否,5,92,低,是,3,低,低,公立,积极,3,是,研究生,近,男,71
19,67,中,中,否,7,91,中,是,1,低,高,公立,中性,3,否,高中,近,女,65
23,79,低,中,是,7,66,高,是,1,高,中,私立,积极,3,否,研究生,近,男,68
5,95,中,高,是,8,92,低,是,1,低,高,私立,中性,2,否,大学,近,女,67
24,69,中,高,是,7,67,中,是,2,中,高,公立,消极,4,否,研究生,远,男,67
21,79,中,低,是,7,81,低,是,2,中,中,公立,中性,4,否,高中,近,男,67
19,65,中,高,是,9,60,低,是,1,低,中,公立,中性,3,否,研究生,中等,男,63
32,76,中,中,否,7,63,中,是,0,中,低,公立,积极,3,否,高中,近,女,68
16,67,高,高,是,6,72,中,是,1,低,高,公立,积极,3,否,研究生,近,女,66
18,75,中,中,是,7,66,高,是,1,高,高,公立,积极,4,否,高中,近,男,67
32,75,中,低,是,6,56,中,是,3,中,中,公立,中性,2,否,大学,中等,女,68
15,100,高,中,是,5,74,中,是,2,高,中,私立,中性,3,否,研究生,近,男,72
17,100,中,中,否,5,76,低,是,3,低,高,私立,中性,3,否,研究生,中等,女,70
19,65,低,高,否,9,58,低,是,3,中,中,公立,消极,4,否,高中,中等,女,62
25,89,中,低,是,6,59,中,是,2,低,中,公立,中性,2,否,大学,近,女,69
21,62,中,低,是,7,51,低,是,0,低,中,私立,积极,4,否,高中,近,女,61
12,61,中,低,是,7,52,低,是,2,低,中,公立,积极,2,否,高中,中等,女,58
17,64,低,中,否,7,68,中,是,5,中,中,私立,中性,3,否,高中,近,男,63
16,99,高,中,否,9,57,高,否,4,中,中,公立,积极,3,否,大学,近,女,71
20,98,低,中,是,7,96,低,否,1,低,高,公立,积极,3,否,大学,近,女,70
23,68,高,中,否,6,60,中,是,1,低,中,公立,中性,3,否,高中,近,女,64
23,66,高,低,否,6,53,低,是,2,中,中,公立,积极,1,否,大学,远,男,63
9,70,高,中,是,8,70,低,是,1,中,中,公立,积极,3,否,大学,近,男,63
26,81,高,低,否,8,60,高,是,2,低,高,公立,积极,5,否,研究生,近,女,71
22,83,低,高,是,8,53,中,否,0,低,低,公立,消极,2,否,研究生,近,女,65
28,69,高,高,否,7,88,低,是,2,低,中,公立,中性,2,否,高中,中等,男,68
23,90,中,高,是,5,78,高,否,1,中,中,私立,中性,3,否,高中,中等,男,70
27,72,高,高,是,8,53,中,是,3,中,低,公立,中性,3,否,高中,远,女,68
23,97,中,高,否,7,73,中,否,3,低,中,私立,消极,1,否,高中,中等,男,69
28,86,中,中,是,7,52,中,是,0,中,中,公立,积极,5,否,大学,近,男,70
23,77,高,中,否,5,68,低,是,0,高,高,私立,积极,3,是,高中,近,男,67
19,92,低,高,是,6,68,中,是,2,中,中,公立,中性,2,否,高中,近,女,69
34,93,低,中,否,6,91,低,是,2,高,中,公立,中性,3,否,,中等,女,73
25,72,中,中,是,8,87,低,是,3,中,低,公立,积极,3,否,研究生,中等,男,68
23,74,高,中,否,8,95,中,是,2,低,中,公立,消极,2,否,大学,远,女,67
12,97,中,高,是,7,57,低,是,0,低,中,私立,积极,4,否,大学,中等,女,67
12,67,中,高,是,8,77,中,是,2,低,高,私立,积极,3,否,大学,近,男,64
22,62,高,中,否,9,51,中,是,2,低,中,公立,中性,2,否,高中,近,男,63
21,78,低,高,否,8,91,中,否,1,中,低,私立,消极,5,否,研究生,近,女,67
16,92,中,高,是,8,68,中,是,1,中,高,公立,积极,2,否,高中,近,男,70
21,91,高,中,是,6,53,高,是,1,中,中,公立,积极,3,否,研究生,近,女,71
30,97,中,高,是,6,66,高,是,1,中,中,私立,中性,2,否,大学,近,男,74
24,81,中,高,是,9,64,高,是,2,高,低,公立,积极,3,否,高中,近,男,70
13,64,低,低,否,6,88,中,是,1,中,中,公立,中性,2,否,大学,中等,女,59
19,84,低,中,是,8,56,中,是,0,低,中,私立,中性,3,是,高中,近,男,64
15,91,低,中,否,10,78,低,是,2,中,高,公立,中性,3,否,高中,近,女,67
18,64,中,中,是,8,90,中,是,1,低,中,公立,中性,3,否,高中,近,男,63
18,67,低,高,是,7,87,中,是,5,低,低,公立,积极,2,否,大学,近,男,66
17,60,中,中,是,5,97,中,是,1,中,中,私立,消极,4,否,大学,远,男,62
12,84,低,中,否,7,50,中,是,3,高,高,公立,中性,3,否,高中,近,男,65
19,95,高,高,是,9,68,中,是,3,高,中,公立,积极,4,否,大学,远,男,73
17,87,高,高,是,7,68,高,是,1,中,高,公立,积极,2,否,高中,近,男,70
2,99,中,低,是,9,52,低,是,0,中,中,公立,中性,4,否,高中,近,男,62
32,63,中,高,否,8,91,中,否,2,高,低,公立,积极,5,是,高中,近,女,68
27,96,高,低,是,7,84,中,是,1,高,中,公立,中性,3,否,大学,近,男,74
18,93,中,中,否,7,76,低,是,2,中,中,私立,中性,4,否,高中,近,女,96
20,73,高,高,否,5,70,高,是,1,低,高,公立,消极,2,否,高中,中等,男,66
13,99,低,高,是,6,95,中,否,0,低,中,公立,积极,4,否,研究生,近,男,69
30,72,高,高,是,6,63,中,是,1,低,中,公立,中性,3,否,研究生,近,女,70
31,96,中,低,是,8,67,中,是,2,中,中,私立,中性,3,否,大学,近,男,73
21,95,低,低,否,7,98,低,是,1,低,高,公立,积极,2,否,高中,近,男,69
26,90,高,高,是,9,53,中,是,1,低,中,私立,中性,4,否,高中,远,男,71
21,83,高,低,是,7,89,低,否,0,低,低,公立,中性,2,否,大学,中等,女,65
12,65,中,低,是,6,86,中,是,1,中,中,公立,积极,3,否,研究生,近,女,62
18,81,高,高,否,6,95,低,是,1,中,,公立,积极,3,否,高中,近,男,69
21,74,低,中,否,6,55,高,是,3,低,中,公立,积极,2,否,大学,近,男,65
17,92,中,中,否,7,99,中,是,1,中,中,公立,中性,2,否,大学,远,女,68
19,90,低,低,是,6,51,高,是,1,低,中,公立,消极,3,是,研究生,近,男,65
19,96,中,高,是,5,67,中,是,4,高,中,私立,中性,1,否,高中,中等,男,72
20,61,高,高,是,9,54,中,是,2,高,中,私立,积极,4,否,研究生,近,男,67
20,92,中,低,否,7,53,中,是,2,中,高,私立,积极,2,否,大学,远,男,68
14,98,低,中,否,7,98,中,否,0,中,高,公立,积极,3,否,高中,近,男,68
16,92,中,中,否,6,86,低,否,2,中,中,私立,中性,3,是,大学,近,女,66
12,65,中,高,是,5,75,高,是,0,高,中,私立,消极,2,否,高中,中等,男,62
26,63,中,中,是,7,55,中,是,2,中,高,公立,中性,4,否,高中,远,男,65
7,61,低,高,是,4,76,高,是,1,中,中,私立,积极,5,否,高中,远,女,60
27,85,高,中,是,8,66,中,是,2,低,高,私立,中性,4,是,高中,中等,男,70
28,85,中,中,是,6,64,低,是,1,低,中,公立,中性,1,否,高中,中等,男,68
18,99,中,高,是,7,81,低,是,1,中,中,公立,中性,3,否,研究生,近,男,72
4,76,中,中,是,8,90,中,是,2,高,中,公立,积极,2,否,高中,中等,女,63
18,73,中,高,是,7,72,低,是,1,中,中,私立,中性,1,是,高中,中等,男,63
20,85,低,中,是,5,75,低,是,1,中,中,公立,中性,2,否,大学,近,男,67
14,93,中,低,是,9,83,低,是,4,中,中,公立,中性,2,否,研究生,,女,68
17,97,中,中,否,5,56,低,是,2,高,中,公立,积极,3,否,高中,近,女,69
29,92,高,中,是,4,91,低,是,1,高,高,公立,中性,4,否,高中,近,女,75
24,77,低,中,否,8,92,高,是,0,高,中,公立,中性,3,否,高中,中等,男,67
14,85,高,高,是,5,77,中,是,2,低,高,公立,积极,3,否,高中,近,男,69
10,94,低,中,否,9,59,低,是,0,中,中,公立,积极,2,否,研究生,近,男,65
18,80,低,高,是,8,75,中,否,2,中,中,公立,消极,4,否,高中,近,男,65
19,69,中,中,是,7,55,低,是,1,低,中,公立,积极,4,否,大学,近,女,63
23,67,低,中,否,6,88,中,是,2,中,中,私立,中性,4,否,高中,近,男,65
17,60,中,低,否,6,66,中,是,0,低,中,公立,积极,2,否,高中,远,女,58
23,89,高,高,是,6,66,低,是,0,低,高,私立,积极,3,否,高中,中等,男,70
32,64,低,低,是,6,97,中,是,1,中,低,公立,中性,5,否,大学,中等,男,66
25,70,中,低,否,9,71,中,否,2,低,中,公立,消极,2,否,大学,近,女,63
20,72,中,低,是,6,89,低,是,1,低,中,私立,消极,3,否,高中,远,男,62
19,82,中,中,是,8,82,高,是,2,中,中,私立,积极,3,否,大学,中等,女,69
18,76,中,中,否,9,66,高,是,1,高,高,公立,积极,3,否,高中,近,女,66
27,87,高,低,否,6,56,中,是,0,低,高,公立,中性,2,否,高中,中等,男,68
16,62,低,中,是,8,90,低,是,2,高,中,公立,中性,2,否,研究生,远,男,62
20,65,高,中,否,6,88,中,是,0,中,高,公立,消极,4,是,高中,近,男,64
20,80,中,高,是,7,58,低,否,0,中,中,公立,中性,2,否,大学,近,女,65
17,73,中,高,是,6,62,低,是,2,低,中,私立,消极,3,否,大学,远,男,64
12,72,中,中,否,6,88,高,是,2,高,中,公立,积极,3,否,高中,近,女,65
22,63,中,中,是,7,99,低,是,3,中,中,私立,中性,4,否,高中,中等,男,65
20,96,低,中,是,5,92,中,是,0,中,中,公立,中性,3,否,大学,近,女,70
23,88,低,高,否,8,84,高,是,2,中,中,私立,积极,3,是,研究生,近,女,71
17,65,中,中,是,5,96,低,是,2,中,高,公立,积极,3,否,大学,中等,男,65
27,63,高,中,否,5,64,中,否,1,高,高,公立,积极,4,否,研究生,近,男,67
15,99,低,高,是,7,50,高,否,4,低,中,公立,积极,2,否,高中,中等,男,68
30,87,高,高,是,6,66,低,是,1,中,中,公立,中性,4,否,高中,近,男,73
10,77,中,高,否,8,99,中,是,0,中,高,公立,中性,4,是,高中,近,男,64
23,88,高,高,否,7,94,低,否,3,低,中,私立,积极,1,否,高中,近,男,71
23,90,中,高,否,5,53,中,是,2,中,高,私立,积极,2,否,高中,近,女,70
15,91,低,高,否,8,75,中,是,4,中,中,公立,中性,1,否,高中,近,女,68
23,79,高,中,是,7,54,中,是,2,低,中,私立,中性,4,否,大学,中等,女,68
28,77,低,高,是,7,89,中,是,3,低,中,公立,积极,3,是,高中,远,男,68
7,60,中,高,是,10,69,低,是,0,低,中,私立,积极,3,否,大学,中等,女,59
23,97,中,中,是,9,96,中,是,2,中,高,私立,中性,4,否,大学,近,男,74
5,84,中,中,是,7,53,低,否,1,低,高,公立,积极,3,否,研究生,中等,男,62
14,68,高,低,是,5,87,高,是,2,中,中,公立,积极,3,否,高中,远,男,64
30,97,高,高,否,5,70,中,是,0,高,中,公立,积极,2,否,研究生,近,男,76
17,97,高,中,是,9,63,中,是,2,低,中,公立,积极,2,否,高中,近,男,70
13,100,高,中,否,6,76,中,否,0,低,低,公立,积极,5,否,研究生,近,男,69
19,95,中,中,是,7,74,高,否,0,低,高,公立,积极,2,否,,近,女,69
32,100,低,高,是,5,67,中,否,4,中,中,公立,积极,3,否,高中,远,男,74
9,70,高,中,否,8,82,低,否,2,高,高,公立,消极,2,否,高中,近,女,62
14,94,中,中,否,9,83,高,是,2,低,高,公立,积极,3,否,研究生,中等,男,70
29,93,低,中,是,9,54,中,否,4,低,高,公立,积极,3,否,高中,近,男,71
31,69,中,低,是,6,80,低,是,4,中,中,公立,消极,2,否,大学,近,男,68
19,64,高,低,是,8,86,低,是,3,高,中,私立,中性,3,否,研究生,近,女,66
13,99,低,中,否,7,54,高,是,3,高,中,公立,消极,3,否,高中,远,男,67
33,72,高,中,否,8,83,低,是,3,低,高,私立,中性,4,否,高中,近,男,71
30,95,中,中,是,7,90,中,是,3,中,中,公立,中性,1,否,高中,中等,男,74
24,60,低,中,是,6,92,低,是,3,中,中,公立,积极,2,否,大学,近,男,65
15,61,高,低,是,9,52,中,是,1,中,中,私立,中性,3,否,高中,中等,女,60
20,79,高,高,是,7,85,低,是,2,中,中,公立,中性,2,否,大学,中等,男,69
19,70,中,中,是,6,90,低,是,2,低,中,私立,积极,3,否,高中,中等,男,65
22,88,中,低,是,7,70,中,是,3,低,中,公立,积极,2,否,高中,近,女,69
29,83,中,低,是,6,77,高,是,1,中,中,公立,中性,4,否,高中,近,男,70
25,63,高,低,是,8,63,中,是,0,中,高,私立,积极,1,是,研究生,近,女,65
14,67,低,低,是,7,66,低,是,0,低,中,公立,中性,4,否,高中,远,女,57
28,76,中,中,是,6,75,低,是,0,中,高,公立,积极,2,否,高中,近,女,68
22,67,高,高,否,10,58,中,是,2,高,低,公立,中性,3,否,研究生,近,男,67
24,92,中,中,否,5,69,中,是,2,中,中,私立,消极,4,否,高中,近,女,70
29,77,中,中,是,8,65,中,是,1,中,中,公立,中性,3,否,高中,近,男,68
13,64,高,高,是,7,62,中,是,1,低,中,公立,中性,1,否,大学,中等,女,62
20,79,高,中,是,5,74,中,是,1,低,中,公立,中性,5,否,高中,远,男,67
17,64,高,高,是,6,92,中,是,0,中,中,私立,积极,1,否,研究生,近,男,66
11,65,中,低,是,5,62,中,是,2,中,高,公立,中性,2,否,大学,远,女,60
22,70,高,低,否,10,83,低,是,0,中,,公立,积极,2,否,大学,中等,男,65
35,94,高,中,是,7,63,中,是,1,低,高,公立,积极,2,否,大学,近,女,75
9,97,低,中,是,7,57,中,是,4,中,高,公立,中性,5,否,高中,远,女,67
20,93,中,高,否,10,97,中,是,1,低,中,公立,中性,2,否,研究生,中等,男,71
24,73,低,低,是,6,82,中,是,0,中,中,公立,消极,2,是,高中,近,男,63
21,71,高,中,是,9,55,低,是,2,高,高,公立,积极,1,否,研究生,中等,男,67
19,82,高,中,否,8,82,低,是,2,低,中,私立,消极,4,否,研究生,近,女,68
12,89,高,低,是,4,59,低,是,2,低,高,公立,消极,4,否,高中,近,男,65
21,100,低,高,否,6,94,中,否,1,高,中,公立,积极,3,否,大学,中等,女,72
15,65,中,中,否,8,62,中,是,1,中,中,公立,中性,4,否,高中,中等,女,61
7,62,低,高,否,7,90,中,是,1,中,低,公立,中性,5,否,大学,中等,女,60
27,88,高,高,是,7,60,中,是,2,低,中,公立,积极,2,否,高中,近,女,72
26,93,中,中,是,6,78,中,是,2,中,中,公立,中性,3,否,研究生,远,女,72
20,94,低,中,是,6,96,中,是,2,中,中,私立,消极,3,否,大学,近,男,70
21,87,低,中,否,7,65,高,是,2,中,中,公立,消极,3,是,大学,近,男,67
26,98,中,中,否,10,54,中,是,0,低,高,私立,中性,1,否,研究生,近,男,71
21,80,中,低,是,6,78,中,是,0,中,中,私立,消极,2,否,研究生,近,女,66
25,97,高,高,否,6,59,低,是,0,低,高,公立,积极,2,否,高中,近,女,72
18,99,中,中,是,7,86,中,否,1,高,中,公立,中性,4,否,高中,中等,女,70
28,94,中,低,是,5,80,中,是,2,高,中,公立,消极,2,否,高中,中等,女,71
22,72,低,低,是,8,67,高,是,2,中,中,公立,消极,4,否,大学,远,男,64
21,68,中,中,是,5,85,中,否,3,高,中,公立,积极,2,否,大学,中等,男,66
12,82,高,低,否,5,62,低,是,2,中,中,公立,积极,4,否,高中,近,男,64
22,78,中,中,是,5,96,中,是,0,低,中,公立,中性,3,否,高中,中等,男,67
